argument,participant,premise_1,premise_2,conclusion,rating,condition,edge_qn,conflict_qn
1,1,has a trunk,lives in the sea,lives in water,7,both_premises,1,1
2,1,has a trunk,lives in the sea,can swim,7,both_premises,1,1
3,1,has a trunk,lives in the sea,eats fish,5,both_premises,1,1
4,1,has a trunk,lives in the sea,has gills,5,both_premises,1,0
5,1,has a trunk,lives in the sea,eats grass,4,both_premises,1,1
6,1,has a trunk,lives in the sea,sings,4,both_premises,1,0
7,1,has a trunk,lives in the sea,can be ridden,2,both_premises,0,1
8,1,has a trunk,lives in the sea,eats grain,1,both_premises,1,0
9,1,has a trunk,lives in the sea,makes an irritating sound,4,both_premises,1,0
10,1,has a trunk,lives in the sea,eats nuts,2,both_premises,1,1
11,1,has six legs,lives in the sea,lives in water,7,both_premises,1,1
12,1,has six legs,lives in the sea,has four legs,7,both_premises,1,0
13,1,has six legs,lives in the sea,can swim,7,both_premises,1,1
14,1,has six legs,lives in the sea,eats fish,5,both_premises,1,1
15,1,has six legs,lives in the sea,lives in the woods,1,both_premises,1,1
16,1,has six legs,lives in the sea,has feelers,4,both_premises,0,1
17,1,has six legs,lives in the sea,eats grass,3,both_premises,1,0
18,1,has six legs,lives in the sea,has no legs,1,both_premises,1,0
19,1,has six legs,lives in the sea,makes an irritating sound,4,both_premises,1,0
20,1,has six legs,lives in the sea,eats nuts,1,both_premises,1,0
21,1,can fly,has a mane,lays eggs,4,both_premises,0,1
22,1,can fly,has a mane,has wings,7,both_premises,1,1
23,1,can fly,has a mane,lives in water,1,both_premises,0,0
24,1,can fly,has a mane,has four legs,4,both_premises,0,1
25,1,can fly,has a mane,has feelers,4,both_premises,0,0
26,1,can fly,has a mane,lives in trees,5,both_premises,1,0
27,1,can fly,has a mane,has fur,6,both_premises,1,1
28,1,can fly,has a mane,makes an irritating sound,4,both_premises,0,0
29,1,can fly,has a mane,sees in the dark,4,both_premises,0,1
30,1,can fly,has a mane,eats nuts,4,both_premises,0,0
31,1,sucks blood,has two legs,has four legs,1,both_premises,1,0
32,1,sucks blood,has two legs,has feathers,4,both_premises,0,1
33,1,sucks blood,has two legs,has a beak,3,both_premises,0,1
34,1,sucks blood,has two legs,stings,4,both_premises,0,1
35,1,sucks blood,has two legs,has six legs,1,both_premises,1,1
36,1,sucks blood,has two legs,crawls,4,both_premises,1,1
37,1,sucks blood,has two legs,has feelers,4,both_premises,0,1
38,1,sucks blood,has two legs,has no legs,1,both_premises,1,0
39,1,sucks blood,has two legs,eats nuts,2,both_premises,0,1
40,1,sucks blood,has two legs,eats berries,2,both_premises,0,1
41,1,lives in the desert,is blue,lives in water,1,both_premises,1,1
42,1,lives in the desert,is blue,lives in the sea,1,both_premises,1,1
43,1,lives in the desert,is blue,eats fish,1,both_premises,1,0
44,1,lives in the desert,is blue,lives in the woods,1,both_premises,1,0
45,1,lives in the desert,is blue,has gills,1,both_premises,0,1
46,1,lives in the desert,is blue,is a nocturnal animal,4,both_premises,0,0
47,1,lives in the desert,is blue,is slow,4,both_premises,0,0
48,1,lives in the desert,is blue,has no legs,4,both_premises,0,0
49,1,lives in the desert,is blue,lives under the ground,6,both_premises,1,0
50,1,lives in the desert,is blue,sees in the dark,4,both_premises,0,0
51,1,can fly,has scales,has wings,7,both_premises,1,1
52,1,can fly,has scales,lives in water,1,both_premises,0,0
53,1,can fly,has scales,has feathers,7,both_premises,1,0
54,1,can fly,has scales,can swim,1,both_premises,0,1
55,1,can fly,has scales,is a predator,4,both_premises,0,0
56,1,can fly,has scales,lives in trees,6,both_premises,1,0
57,1,can fly,has scales,sings,5,both_premises,0,0
58,1,can fly,has scales,can be ridden,2,both_premises,0,0
59,1,can fly,has scales,has fur,1,both_premises,1,0
60,1,can fly,has scales,is cold-blooded,4,both_premises,0,1
61,1,has wings,has sharp teeth,can fly,7,both_premises,1,1
62,1,has wings,has sharp teeth,lives in water,1,both_premises,0,0
63,1,has wings,has sharp teeth,is green,4,both_premises,0,0
64,1,has wings,has sharp teeth,has gills,1,both_premises,0,0
65,1,has wings,has sharp teeth,has two legs,5,both_premises,0,0
66,1,has wings,has sharp teeth,is a predator,6,both_premises,1,0
